target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Al2O5Ti1,0.013,Al2O3 + TiO2 -> TiAl2O5,-0.021,1733,-0.021,0.0,-0.015,-0.015
Al2O5Ti1,0.013,Al2O3 + TiO2 -> TiAl2O5,-0.003,823,-0.003,0.0,-0.002,-0.018
Al2O5Ti1,0.013,Al2O3 + TiO2 -> TiAl2O5,-0.005,923,-0.005,0.0,-0.004,-0.004
Bi1Mn1O3,0.026,Bi2O3 + Mn2O3 -> 2 MnBiO3,-0.0,723,0.034,0.054,0.034,0.034
Bi1Mn1O3,0.026,Bi2O3 + 2 MnO2 -> 0.5 O2 + 2 MnBiO3,-0.016,1123,0.084,0.05,0.059,0.022
Bi1Mn1O3,0.026,Bi2O3 + Mn2O3 -> 2 MnBiO3,-0.02,1473,0.025,0.041,0.023,0.023
Bi1Mn1O3,0.026,Bi2O3 + Mn2O3 -> 2 MnBiO3,-0.008,1023,0.027,0.028,0.022,0.022
Bi1Mn2O5,0.0,Bi2O3 + 4 MnO2 -> 0.5 O2 + 2 Mn2BiO5,-0.111,1273,-0.049,0.01,-0.042,-0.042
Bi1Mn7O12,0.038,Mn2O3 + 0.1429 Bi2O3 -> 0.2857 Mn7BiO12,-0.018,1073,0.019,0.01,0.011,0.011
K4Nb6O17,0.0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.039,423,0.001,0.016,-0.001,-0.001
K4Nb6O17,0.0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.117,1273,-0.023,0.02,-0.026,-0.026
K4Nb6O17,0.0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.372,1473,-0.06,0.064,-0.074,-0.074
K4Nb6O17,0.0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.099,1073,-0.019,0.019,-0.021,-0.021
K4Nb6O17,0.0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.042,453,-0.0,0.016,-0.002,-0.002
K4Nb6O17,0.0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.129,1403,-0.026,0.021,-0.029,-0.029
K1Nb1O3,0.0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.067,1023,0.028,0.052,0.02,-0.036
K1Nb1O3,0.0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.088,1273,0.029,0.062,0.02,-0.041
K1Nb1O3,0.0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.071,1073,0.028,0.054,0.02,-0.037
K1Nb1O3,0.0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.068,1033,0.028,0.053,0.02,-0.036
K1Nb1O3,0.0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.084,1223,0.028,0.06,0.02,-0.04
K1Nb1O3,0.0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.074,1103,0.028,0.056,0.02,-0.037
