target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Na2O5Si2,0,SiO2 + 0.5 Na2O -> 0.5 Na2Si2O5,-0.232475195,973,0.094842547,0.268067892,0.091457031,-0.008844535
Na6O19Si8,0.004805887,3 Na2CO3 + 8 SiO2 -> Na6Si8O19 + 3 CO2,-0.037273501,1073,0.01824422,0.033689639,0.01377123,0.008089901
Al2O5Ti1,0.013221649,Al2O3 + TiO2 -> TiAl2O5,-0.020913036,1723,-0.020913036,0,-0.015062391,-0.015062391
Al2O5Ti1,0.013221649,Al2O3 + TiO2 -> TiAl2O5,-0.008034658,1073,-0.008034658,0,-0.005786877,-0.005786877
Al2O5Ti1,0.013221649,Al2O3 + TiO2 -> TiAl2O5,-0.01992262,1673,-0.01992262,0,-0.014349055,-0.014349055
Al2O5Ti1,0.013221649,Al2O3 + TiO2 -> TiAl2O5,-0.022893868,1823,-0.022893868,0,-0.016489064,-0.016489064
Al2O5Ti1,0.013221649,Al2O3 + TiO2 -> TiAl2O5,-0.021111119,1733,-0.021111119,0,-0.015205059,-0.015205059
Al2O5Ti1,0.013221649,Al2O3 + TiO2 -> TiAl2O5,-0.003085549,823,-0.003085549,0,-0.002222334,-0.017877536
Al2O5Ti1,0.013221649,Al2O3 + TiO2 -> TiAl2O5,-0.005066381,923,-0.005066381,0,-0.003649007,-0.003649007
Bi1Mn1O3,0.025675422,Bi2O3 + Mn2O3 -> 2 MnBiO3,-0.000186729,723,0.034382428,0.054119786,0.034428407,0.034428407
Bi1Mn1O3,0.025675422,Bi2O3 + 2 MnO2 -> 0.5 O2 + 2 MnBiO3,-0.015827932,1123,0.084341233,0.050243822,0.058935317,0.021548658
Bi1Mn1O3,0.025675422,Bi2O3 + Mn2O3 -> 2 MnBiO3,-0.020466725,1473,0.025462655,0.041039312,0.022545174,0.022545174
Bi1Mn1O3,0.025675422,Bi2O3 + Mn2O3 -> 2 MnBiO3,-0.008298727,1023,0.026811637,0.028487017,0.021718858,0.021718858
Bi1Mn2O5,0,Bi2O3 + 4 MnO2 -> 0.5 O2 + 2 Mn2BiO5,-0.110766588,1273,-0.048887512,0.010002906,-0.04221394,-0.04221394
Bi1Mn7O12,0.038073959,Mn2O3 + 0.1429 Bi2O3 -> 0.2857 Mn7BiO12,-0.017739246,1073,0.018569625,0.010373963,0.010525474,0.010525474
K4Nb6O17,0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.039013307,423,0.000682381,0.015854222,-0.001360935,-0.001360935
K4Nb6O17,0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.117141147,1273,-0.023356335,0.020310715,-0.025995533,-0.025995533
K4Nb6O17,0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.372200731,1473,-0.059524054,0.064077906,-0.074473095,-0.074473095
K4Nb6O17,0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.099228495,1073,-0.018780043,0.019261342,-0.0208806,-0.0208806
K4Nb6O17,0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.042207234,453,-0.000402414,0.01601151,-0.00243233,-0.00243233
K4Nb6O17,0,K2CO3 + 1.5 Nb2O5 -> CO2 + 0.5 K4Nb6O17,-0.12889783,1403,-0.026360685,0.02099151,-0.029355295,-0.029355295
K1Nb1O3,0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.067102258,1023,0.02769214,0.052416973,0.019593737,-0.03561564
K1Nb1O3,0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.088454125,1273,0.028687021,0.062253461,0.019522425,-0.040902923
K1Nb1O3,0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.071332093,1073,0.027896401,0.054369772,0.019584809,-0.036664781
K1Nb1O3,0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.06795842,1033,0.027731493,0.05281108,0.019590486,-0.035828223
K1Nb1O3,0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.084142216,1223,0.028496856,0.060273286,0.019544614,-0.039836543
K1Nb1O3,0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.073859151,1103,0.028026561,0.055541178,0.019585365,-0.037290484
K1Nb1O3,0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.079860612,1173,0.028300262,0.058302506,0.01956102,-0.038777211
K1Nb1O3,0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.081966984,1198,0.028405862,0.059277221,0.019559388,-0.039297913
K1Nb3O8,0,K2CO3 + 3 Nb2O5 -> CO2 + 2 KNb3O8,-0.079900978,1073,0.019327517,0.033854967,0.007673926,0.000974073
K1Nb3O8,0,K2CO3 + 3 Nb2O5 -> CO2 + 2 KNb3O8,-0.085884734,1173,0.02227614,0.037891546,0.009512027,0.001466511
K1Nb3O8,0,K2CO3 + 3 Nb2O5 -> CO2 + 2 KNb3O8,-0.097947554,1373,0.028237898,0.046046544,0.013232272,0.002449175
Hf1O4Ti1,0.035082565,TiO2 + HfO2 -> HfTiO4,-0.015580143,1973,-0.015580143,0,-0.011221432,-0.011221432
Hf1O4Ti1,0.035082565,TiO2 + HfO2 -> HfTiO4,0.007530987,1073,0.007530987,0,0.005424113,0.005424113
Hf1O4Ti1,0.035082565,TiO2 + HfO2 -> HfTiO4,-0.00530639,1573,-0.00530639,0,-0.003821871,-0.003821871
Na2O4Os1,0,OsO2 + Na2O2 -> Na2OsO4,-0.447921704,1173,0.063964903,0.656837407,0.148744431,0.148744431
Na1O3Os1,0,OsO2 + 0.5 Na2O2 -> NaOsO3,-0.32669508,1073,0.181580136,0.778615812,0.268096401,0.274152507
O7Ti2Y2,0.00919738,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.048357749,1673,0.046108259,0.047233004,0.031459497,0.031459497
O7Ti2Y2,0.00919738,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.049617807,1873,0.048413033,0.04901542,0.033053466,0.033053466
O7Ti2Y2,0.00919738,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.047098637,1473,0.043805214,0.045451925,0.029866723,0.029866723
O7Ti2Y2,0.00919738,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.044577576,1073,0.039193938,0.041885757,0.026677589,0.026677589
O7Ti2Y2,0.00919738,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.047728666,1573,0.044957601,0.046343133,0.030663708,0.030663708
O7Ti2Y2,0.00919738,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.048988723,1773,0.047262375,0.048125549,0.032257677,0.032257677
O7Ti2Y2,0.00919738,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.04804368,1623,0.045533795,0.046788737,0.0310622,0.0310622
O7Ti2Y2,0.00919738,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.046783622,1423,0.043229021,0.045006322,0.029468231,0.029468231
O9Ti3Y2,0.044722893,Y2O3 + 3 TiO2 -> Y2Ti3O9,-0.011494948,1823,0.085647359,0.064761537,0.06441698,0.06441698
Ba1O3U1,0,UO2 + BaCO3 -> CO2 + BaUO3,-0.108454426,1773,0.448807668,0.557262094,0.390878596,0.283656909
Fe2Mo3O12,0,MoO3 + 0.3333 Fe2O3 -> 0.3333 Fe2(MoO4)3,-0.10785912,1123,-0.10686794,0,-0.077127498,-0.077127498
Fe2Mo3O12,0,MoO3 + 0.3333 Fe2O3 -> 0.3333 Fe2(MoO4)3,-0.101542819,1023,-0.101542819,0,-0.073135133,-0.073135133
Fe1In1O3,0.047483368,In2O3 + Fe2O3 -> 2 InFeO3,0.004459955,1073,0.004459955,0,0.003212235,-0.041095612
Fe2In1O4,0.092700516,In2O3 + 2 Fe2O3 -> 0.5 O2 + 2 In(FeO2)2,0.131838494,1273,0.135403081,0.001782293,0.097456611,0.097456611
Fe1Nd1O3,0,Nd2O3 + Fe2O3 -> 2 NdFeO3,-0.066357037,1473,0.006134921,0.047551585,0.006238943,0.006238943
Fe1Nd1O3,0,Nd2O3 + Fe2O3 -> 2 NdFeO3,-0.061704681,1273,0.002509059,0.042463085,0.003515162,0.003515162
Fe1Nd1O3,0,Nd2O3 + Fe2O3 -> 2 NdFeO3,-0.069846304,1623,0.008854317,0.050959721,0.008167569,0.008167569
Al1O3Pr1,0,Pr2O3 + Al2O3 -> 2 PrAlO3,-0.071293851,1923,-0.019320195,0.045774191,-0.009341977,-0.009341977
O3Os1Sr1,0.061077385,OsO2 + SrO -> SrOsO3,-0.12282611,1073,0.347884503,0.474446559,0.308730994,0.308730994
Ga5Gd3O12,0,Ga2O3 + 0.6 Gd2O3 -> 0.4 Gd3Ga5O12,-0.144402752,1923,-0.0341389,0.044389722,-0.029635483,-0.029635483
Ga5Gd3O12,0,Ga2O3 + 0.6 Gd2O3 -> 0.4 Gd3Ga5O12,-0.118522123,1373,-0.034583062,0.028709338,-0.030172291,-0.030172291
Ca3O8P2,0,CaCO3 + Ca2P2O7 -> CO2 + Ca3(PO4)2,-0.07045258,1100,-0.024253804,0,-0.024786433,-0.027082457
O4Pb1W1,0,PbO + WO3 -> PbWO4,-0.177739524,1073,-0.045841756,0.060049666,-0.037110117,-0.050485134
Be2Ge1O4,0,BeO + 0.5 GeO2 -> 0.5 Be2GeO4,-0.041578206,1000,-0.041578206,0,-0.02994626,-0.02994626
Nd2O7Zr2,0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.124533866,1773,-0.124533866,0,-0.08969419,-0.08969419
Nd2O7Zr2,0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.129107158,1873,-0.129107158,0,-0.092988055,-0.092988055
Nd2O7Zr2,0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.119953704,1673,-0.119953704,0,-0.086395377,-0.086395377
Nd2O7Zr2,0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.13369419,1973,-0.13369419,0,-0.096291816,-0.096291816
Nd2O7Zr2,0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.092465863,1073,-0.092465863,0,-0.066597552,-0.068133496
Nd2O19Zr8,0.143535856,Nd2O3 + 8 ZrO2 -> Nd2Zr8O19,0.052452406,1723,0.174689321,0.091677686,0.132103596,0.071172707
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.010629595,1473,0.026451261,0.034811204,0.022916434,0.008108434
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.00849438,1448,0.024764697,0.030794482,0.021183353,0.008514821
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.002093029,1373,0.01971273,0.018757588,0.015991485,0.009733984
Ba1Fe12O19,0.05535916,Ba(FeO2)2 + 5 Fe2O3 -> BaFe12O19,0.014937303,1073,0.01967492,0.004263856,0.014613072,0.014613072
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.027841887,1673,0.045062863,0.064574704,0.038973391,0.004491562
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.019211855,1573,0.03554164,0.050640576,0.031092771,0.006434688
