target,hull_energy,gamma,predictions/SynthNN,predictions/PU-CGNF,predictions/PU-CGCNN,predictions/SynCoTrain,predictions/TSDNN
Ba2Bi2O7,0.046,0.037,0.674,0.75,0.506,0.682,0.998
Ba2Bi3O1,0.067,0.561,0.026,0.602,0.496,0.229,0.998
Ba2Bi3O8,0.075,0.029,0.719,0.663,0.304,0.471,0.999
Ba2Bi6O5,0.134,0.373,0.05,0.341,0.171,0.485,0.997
Ba3Bi1O7,0.134,0.137,0.644,0.881,0.492,0.877,1.0
Ba3Bi1O8,0.232,0.245,0.433,0.885,0.578,0.743,1.0
Ba3Bi4O5,0.172,0.355,0.048,0.429,0.227,0.334,0.998
Ba3Bi4O7,0.12,0.178,0.132,0.491,0.19,0.361,0.999
Ba3Bi5O1,0.156,0.633,0.08,0.672,0.754,0.487,0.996
Ba3Bi8O7,0.292,0.445,0.048,0.337,0.133,0.413,0.996
Ba4Bi1O5,0.08,0.113,0.01,0.77,0.318,0.566,1.0
Ba4Bi1O6,0.045,0.034,0.276,0.815,0.153,0.246,1.0
Ba4Bi1O7,0.0,0.007,0.106,0.854,0.504,0.865,1.0
Ba4Bi2O3,0.087,0.399,0.052,0.815,0.238,0.087,0.998
Ba4Bi5O3,0.114,0.499,0.014,0.551,0.583,0.2,0.998
Ba5Bi1O8,0.016,0.059,0.074,0.824,0.364,0.583,1.0
Ba5Bi2O8,0.082,0.055,0.012,0.84,0.131,0.158,1.0
Ba5Bi3O4,0.125,0.417,0.013,0.771,0.252,0.202,0.999
Ba5Bi3O7,0.146,0.247,0.007,0.789,0.219,0.536,0.999
Ba5Bi4O1,0.03,0.621,0.339,0.757,0.825,0.359,0.998
Ba5Bi4O2,0.066,0.554,0.059,0.718,0.604,0.28,0.998
Ba6Bi1O5,0.11,0.27,0.007,0.813,0.266,0.248,1.0
Ba6Bi1O8,0.066,0.068,0.386,0.758,0.259,0.058,1.0
Ba6Bi5O1,0.092,0.649,0.578,0.738,0.798,0.615,0.998
Ba6Bi5O7,0.151,0.357,0.032,0.667,0.136,0.073,0.999
Ba7Bi2O8,0.148,0.19,0.062,0.768,0.177,0.179,0.999
Ba7Bi3O8,0.162,0.264,0.03,0.783,0.146,0.424,0.999
Ba7Bi4O6,0.172,0.408,0.133,0.773,0.311,0.088,0.999
Ba7Bi6O2,0.044,0.583,0.026,0.694,0.724,0.237,0.998
Ba8Bi3O7,0.102,0.314,0.01,0.8,0.266,0.319,0.999
Ba1Ce1O2,0.111,0.546,0.012,0.618,0.691,0.706,0.999
Ba1Ce1O4,0.221,0.132,0.146,0.795,0.618,0.807,1.0
Ba1Ce2O3,0.175,0.79,0.003,0.419,0.11,0.556,0.997
Ba1Ce2O5,0.107,0.039,0.665,0.762,0.082,0.573,0.999
Ba1Ce2O6,0.245,0.187,0.288,0.802,0.177,0.573,1.0
Ba1Ce3O4,0.145,0.896,0.003,0.347,0.514,0.845,0.999
Ba2Ce1O3,0.034,0.339,0.008,0.629,0.068,0.354,0.999
Ba2Ce1O4,0.029,0.006,0.68,0.693,0.257,0.735,1.0
Ba2Ce1O6,0.287,0.222,0.139,0.815,0.193,0.496,1.0
Ba2Ce3O5,0.155,0.702,0.011,0.514,0.223,0.747,0.999
Ba2Ce3O8,0.075,0.011,0.727,0.751,0.026,0.454,0.999
Ba3Ce1O4,0.084,0.285,0.026,0.633,0.089,0.443,0.999
Ba3Ce1O5,0.089,0.034,0.364,0.674,0.091,0.165,0.999
Ba3Ce2O5,0.095,0.442,0.012,0.633,0.076,0.594,0.999
Ba3Ce4O7,0.21,0.67,0.019,0.554,0.005,0.245,0.995
Ba4Ce1O5,0.059,0.248,0.016,0.643,0.444,0.876,1.0
Ba4Ce3O7,0.159,0.498,0.009,0.634,0.02,0.197,0.998
Ba5Ce1O6,0.028,0.211,0.015,0.653,0.242,0.306,1.0
Ba5Ce2O7,0.094,0.325,0.023,0.629,0.089,0.174,0.999
Ba5Ce2O8,0.028,0.149,0.126,0.66,0.109,0.428,0.999
Ba5Ce3O8,0.138,0.436,0.01,0.632,0.027,0.405,0.999
Ba7Ce1O8,0.0,0.174,0.017,0.669,0.426,0.855,1.0
Ba1Cu1O4,0.25,0.294,0.036,0.572,0.556,0.69,1.0
Ba1Cu1O5,0.177,0.247,0.039,0.639,0.39,0.79,0.998
Ba1Cu2O3,0.034,0.015,0.532,0.841,0.717,0.435,0.999
Ba1Cu2O4,0.0,-0.055,0.76,0.699,0.486,0.833,0.998
Ba1Cu3O5,0.136,0.109,0.282,0.731,0.653,0.939,0.996
Ba1Cu4O3,0.083,0.024,0.32,0.921,0.705,0.836,0.997
Ba1Cu4O5,0.14,0.068,0.323,0.823,0.698,0.994,0.998
Ba1Cu4O6,0.074,0.055,0.532,0.739,0.637,0.883,0.995
Ba1Cu5O6,0.094,0.041,0.06,0.811,0.575,0.823,0.997
Ba1Cu5O7,0.086,0.055,0.069,0.74,0.425,0.715,0.996
Ba1Cu6O4,0.126,0.06,0.024,0.911,0.6,0.972,0.984
Ba1Cu6O7,0.097,0.029,0.048,0.802,0.577,0.946,0.993
Ba1Cu6O8,0.115,0.063,0.52,0.739,0.462,0.937,0.996
Ba1Cu7O8,0.166,0.073,0.05,0.795,0.576,0.965,0.994
Ba2Cu1O5,0.156,0.128,0.115,0.722,0.614,0.938,1.0
Ba2Cu1O7,0.187,0.239,0.039,0.758,0.477,0.629,1.0
Ba2Cu2O3,0.02,0.045,0.267,0.915,0.501,0.422,0.999
Ba2Cu3O5,0.068,0.041,0.742,0.827,0.521,0.044,0.998
Ba2Cu3O7,0.03,0.048,0.275,0.669,0.394,0.607,1.0
Ba2Cu5O7,0.098,0.051,0.525,0.843,0.618,0.633,0.998
Ba2Cu6O5,0.11,0.045,0.397,0.94,0.568,0.908,0.995
Ba3Cu1O4,0.115,0.034,0.723,0.799,0.415,0.557,0.999
Ba3Cu1O7,0.219,0.25,0.087,0.77,0.511,0.909,1.0
Ba3Cu2O4,0.065,0.07,0.021,0.895,0.604,0.693,0.999
Ba3Cu2O5,0.088,0.053,0.888,0.821,0.418,0.417,1.0
Ba3Cu2O6,0.103,0.084,0.005,0.753,0.524,0.644,1.0
Ba3Cu2O8,0.128,0.15,0.723,0.681,0.411,0.875,0.999
Ba3Cu4O5,0.131,0.079,0.27,0.938,0.723,0.87,0.998
Ba3Cu4O7,0.075,0.036,0.705,0.82,0.496,0.856,0.999
Ba3Cu5O8,0.127,0.06,0.668,0.833,0.796,0.906,0.998
Ba3Cu8O7,0.141,0.072,0.516,0.947,0.685,0.996,0.996
Ba4Cu1O5,0.122,0.026,0.208,0.772,0.361,0.349,0.999
Ba4Cu2O5,0.072,0.076,0.541,0.873,0.474,0.603,0.999
Ba4Cu3O7,0.163,0.061,0.829,0.816,0.49,0.304,0.999
Ba5Cu1O6,0.076,0.01,0.107,0.754,0.445,0.528,1.0
Ba5Cu2O6,0.065,0.076,0.008,0.848,0.671,0.781,0.999
Ba5Cu2O7,0.078,0.045,0.716,0.814,0.496,0.469,1.0
Ba5Cu2O8,0.093,0.064,0.012,0.782,0.58,0.837,1.0
Ba5Cu3O8,0.131,0.068,0.824,0.824,0.555,0.781,1.0
Ba5Cu4O7,0.129,0.094,0.226,0.904,0.61,0.224,0.999
Ba6Cu1O7,0.109,0.013,0.105,0.743,0.375,0.273,1.0
Ba6Cu2O7,0.086,0.077,0.316,0.825,0.414,0.429,1.0
Ba7Cu1O8,0.072,-0.035,0.093,0.735,0.429,0.502,1.0
Ba7Cu2O8,0.102,0.074,0.006,0.806,0.406,0.16,1.0
Ba1Fe1O2,0.078,0.149,0.927,0.844,0.28,0.637,0.999
Ba1Fe2O3,0.122,0.155,0.814,0.866,0.648,0.601,0.902
Ba1Fe2O5,0.063,0.054,0.614,0.792,0.576,0.754,0.996
Ba1Fe2O6,0.119,0.135,0.707,0.79,0.485,0.622,0.988
Ba1Fe3O4,0.146,0.172,0.635,0.875,0.513,0.783,0.952
Ba1Fe3O5,0.119,-0.008,0.894,0.895,0.462,0.672,0.954
Ba1Fe4O5,0.162,0.197,0.044,0.826,0.766,0.501,0.951
Ba1Fe5O6,0.174,0.203,0.015,0.763,0.487,0.5,0.934
Ba1Fe6O4,0.556,0.555,0.002,0.583,0.687,0.572,0.983
Ba1Fe6O7,0.168,0.215,0.014,0.707,0.444,0.562,0.949
Ba2Fe1O3,0.043,0.118,0.975,0.908,0.492,0.809,0.999
Ba2Fe1O5,0.156,0.099,0.686,0.877,0.342,0.737,1.0
Ba2Fe2O7,0.0,0.002,0.618,0.76,0.442,0.869,1.0
Ba2Fe3O5,0.158,0.17,0.927,0.817,0.822,0.774,0.993
Ba2Fe5O7,0.159,0.17,0.65,0.882,0.445,0.741,0.974
Ba3Fe1O6,0.071,0.052,0.719,0.868,0.588,0.956,1.0
Ba3Fe2O4,0.259,0.333,0.002,0.924,0.53,0.661,0.996
Ba3Fe2O5,0.089,0.143,0.929,0.912,0.405,0.448,0.997
Ba3Fe2O6,0.039,0.006,0.001,0.881,0.435,0.741,0.999
Ba3Fe2O8,0.071,0.046,0.907,0.846,0.613,0.928,1.0
Ba3Fe4O7,0.145,0.154,0.927,0.807,0.552,0.724,0.987
Ba3Fe5O8,0.137,0.158,0.927,0.835,0.533,0.793,0.972
Ba4Fe1O5,0.086,0.08,0.858,0.806,0.534,0.917,1.0
Ba4Fe2O5,0.204,0.25,0.011,0.909,0.282,0.619,0.998
Ba4Fe2O7,0.019,-0.015,0.991,0.896,0.561,0.833,0.999
Ba4Fe3O7,0.118,0.151,0.929,0.902,0.486,0.576,0.997
Ba5Fe1O6,0.083,0.044,0.309,0.773,0.39,0.846,0.999
Ba5Fe1O7,0.051,-0.014,0.496,0.783,0.215,0.634,1.0
Ba5Fe2O7,0.104,0.131,0.927,0.883,0.384,0.822,0.999
Ba5Fe2O8,0.037,-0.002,0.009,0.88,0.327,0.73,0.999
Ba5Fe3O8,0.069,0.141,0.968,0.915,0.519,0.739,0.999
Ba6Fe1O7,0.104,0.05,0.203,0.752,0.338,0.626,1.0
Ba6Fe1O8,0.068,-0.003,0.443,0.758,0.286,0.381,1.0
Ba7Fe1O8,0.059,0.036,0.129,0.739,0.448,0.439,1.0
Ba7Fe2O8,0.158,0.174,0.005,0.821,0.416,0.89,0.999
Ba1In3O5,0.112,0.156,0.022,0.67,0.459,0.677,1.0
Ba1In4O5,0.145,0.343,0.011,0.621,0.33,0.444,1.0
Ba1In4O7,0.125,0.01,0.9,0.691,0.385,0.263,1.0
Ba2In1O5,0.192,0.125,0.426,0.864,0.547,0.658,1.0
Ba2In2O1,0.078,0.622,0.032,0.718,0.706,0.584,0.999
Ba2In2O3,0.096,0.318,0.003,0.726,0.238,0.513,1.0
Ba2In3O7,0.034,0.017,0.194,0.73,0.729,0.819,1.0
Ba2In5O7,0.152,0.319,0.016,0.614,0.652,0.503,1.0
Ba3In1O3,0.14,0.261,0.005,0.803,0.377,0.352,1.0
Ba3In2O2,0.129,0.51,0.033,0.843,0.565,0.421,1.0
Ba3In2O4,0.174,0.282,0.005,0.805,0.19,0.322,1.0
Ba3In2O8,0.216,0.134,0.236,0.843,0.646,0.809,1.0
Ba3In4O5,0.078,0.359,0.0,0.603,0.392,0.459,1.0
Ba3In4O7,0.122,0.231,0.007,0.702,0.299,0.566,1.0
Ba4In1O7,0.129,0.098,0.086,0.842,0.675,0.898,1.0
Ba4In2O3,0.222,0.472,0.008,0.871,0.447,0.326,0.999
Ba4In5O3,0.103,0.583,0.02,0.617,0.564,0.359,1.0
Ba4In6O1,0.094,0.778,0.229,0.861,0.789,0.148,0.999
Ba5In1O6,0.064,0.079,0.034,0.751,0.377,0.324,1.0
Ba5In1O7,0.088,0.05,0.294,0.774,0.222,0.588,1.0
Ba5In2O4,0.248,0.422,0.021,0.864,0.474,0.263,0.999
Ba5In2O6,0.14,0.209,0.007,0.797,0.246,0.289,1.0
Ba5In2O8,0.092,0.041,0.895,0.833,0.274,0.368,1.0
Ba5In3O1,0.01,0.766,0.028,0.913,0.712,0.556,0.996
Ba5In6O4,0.116,0.561,0.016,0.616,0.407,0.349,1.0
Ba5In7O3,0.109,0.659,0.158,0.68,0.519,0.492,1.0
Ba6In2O7,0.073,0.174,0.012,0.786,0.427,0.421,1.0
Ba6In5O7,0.107,0.363,0.006,0.765,0.308,0.621,1.0
Ba7In4O1,0.048,0.818,0.035,0.907,0.485,0.793,0.996
Ba7In8O3,0.127,0.685,0.049,0.73,0.596,0.2,0.999
Ba1Ir1O2,0.314,0.299,0.018,0.452,0.541,0.74,0.999
Ba1Ir1O4,0.0,0.028,0.214,0.891,0.585,0.894,1.0
Ba1Ir2O2,0.49,0.434,0.002,0.202,0.275,0.225,0.997
Ba1Ir2O3,0.404,0.352,0.006,0.162,0.383,0.404,0.997
Ba1Ir2O4,0.245,0.233,0.018,0.414,0.691,0.377,0.998
Ba1Ir2O5,0.181,0.048,0.949,0.692,0.428,0.514,1.0
Ba1Ir3O4,0.479,0.43,0.0,0.225,0.324,0.662,0.997
Ba1Ir3O8,0.091,0.127,0.685,0.714,0.491,0.694,1.0
Ba1Ir4O5,0.486,0.457,0.0,0.249,0.369,0.057,0.998
Ba1Ir4O7,0.371,0.378,0.01,0.333,0.454,0.873,0.999
Ba1Ir5O6,0.541,0.495,0.003,0.254,0.409,0.067,0.99
Ba1Ir6O4,0.657,0.554,0.0,0.494,0.359,0.182,0.973
Ba1Ir6O7,0.525,0.496,0.002,0.249,0.336,0.509,0.996
Ba1Ir6O8,0.537,0.504,0.0,0.201,0.548,0.052,0.996
Ba1Ir8O5,0.684,0.57,0.001,0.435,0.326,0.187,0.993
Ba2Ir1O6,0.0,-0.026,0.146,0.918,0.671,0.996,1.0
Ba2Ir2O3,0.495,0.407,0.001,0.15,0.271,0.688,0.999
Ba2Ir3O5,0.399,0.324,0.004,0.17,0.385,0.822,0.997
Ba2Ir3O7,0.216,0.185,0.023,0.601,0.633,0.542,0.999
Ba2Ir3O8,0.084,0.01,0.97,0.743,0.679,0.512,1.0
Ba2Ir5O7,0.429,0.388,0.001,0.197,0.367,0.727,0.996
Ba3Ir1O7,0.0,0.102,0.26,0.919,0.711,0.721,1.0
Ba3Ir1O8,0.096,0.175,0.141,0.92,0.526,0.995,1.0
Ba3Ir2O7,0.125,0.04,0.972,0.902,0.72,0.994,1.0
Ba3Ir2O8,0.0,0.045,0.027,0.908,0.678,0.934,1.0
Ba3Ir4O5,0.505,0.415,0.001,0.075,0.232,0.723,0.998
Ba3Ir4O7,0.411,0.346,0.011,0.212,0.522,0.871,0.999
Ba3Ir5O8,0.458,0.369,0.003,0.156,0.454,0.887,0.998
Ba4Ir1O5,0.231,0.222,0.016,0.828,0.495,0.873,1.0
Ba4Ir2O7,0.128,0.14,0.065,0.912,0.519,0.941,1.0
Ba5Ir1O6,0.205,0.191,0.012,0.802,0.392,0.756,1.0
Ba5Ir1O7,0.053,0.056,0.97,0.822,0.457,0.667,1.0
Ba5Ir1O8,0.0,0.051,0.965,0.851,0.621,0.918,1.0
Ba5Ir2O6,0.282,0.287,0.005,0.814,0.205,0.505,0.999
Ba5Ir2O7,0.228,0.243,0.01,0.878,0.436,0.829,1.0
Ba5Ir2O8,0.138,0.17,0.002,0.904,0.653,0.944,1.0
Ba5Ir4O7,0.542,0.419,0.001,0.351,0.467,0.9,0.999
Ba5Ir6O8,0.504,0.418,0.002,0.084,0.437,0.702,0.998
Ba6Ir1O7,0.167,0.18,0.014,0.783,0.503,0.613,1.0
Ba6Ir1O8,0.009,0.046,0.938,0.795,0.581,0.888,1.0
Ba7Ir2O8,0.343,0.293,0.017,0.819,0.23,0.564,0.999
Ba1Nd1O2,0.119,0.37,0.023,0.683,0.132,0.863,0.999
Ba1Nd2O3,0.204,0.537,0.006,0.529,0.593,0.749,0.999
Ba1Nd2O5,0.203,0.008,0.282,0.836,0.957,0.856,1.0
Ba2Nd1O3,0.07,0.236,0.01,0.666,0.403,0.955,1.0
Ba2Nd1O4,0.105,0.062,0.145,0.731,0.236,0.935,1.0
Ba2Nd2O5,0.055,0.009,0.936,0.766,0.067,0.888,1.0
Ba2Nd3O5,0.269,0.521,0.012,0.626,0.11,0.829,0.999
Ba2Nd3O8,0.199,0.123,0.29,0.814,0.425,0.874,1.0
Ba3Nd1O4,0.021,0.149,0.015,0.663,0.347,0.69,1.0
Ba3Nd1O5,0.085,0.04,0.282,0.703,0.088,0.163,1.0
Ba3Nd2O5,0.085,0.287,0.01,0.675,0.257,0.853,1.0
Ba3Nd2O6,0.056,0.004,0.808,0.728,0.121,0.743,1.0
Ba3Nd2O7,0.136,0.083,0.188,0.751,0.413,0.963,1.0
Ba4Nd1O5,0.005,0.091,0.016,0.667,0.271,0.427,1.0
Ba4Nd1O6,0.023,-0.008,0.425,0.687,0.177,0.558,1.0
Ba4Nd2O7,0.119,0.035,0.812,0.705,0.134,0.391,1.0
Ba4Nd3O7,0.139,0.327,0.01,0.679,0.151,0.917,0.999
Ba5Nd1O6,0.0,0.063,0.016,0.672,0.318,0.569,1.0
Ba5Nd1O7,0.057,0.013,0.213,0.679,0.285,0.409,1.0
Ba5Nd2O7,0.04,0.187,0.015,0.663,0.288,0.771,1.0
Ba5Nd2O8,0.15,0.047,0.539,0.691,0.093,0.024,1.0
Ba5Nd3O8,0.091,0.279,0.009,0.671,0.482,0.903,1.0
