target,hull_energy,gamma,predictions/SynthNN,predictions/PU-CGNF,predictions/PU-CGCNN,predictions/SynCoTrain,predictions/TSDNN
Ba2O6Pt1,0.0,0.101,0.131,0.892,0.472,0.979,1.0
Ba2O7Pt2,0.0,0.059,0.79,0.833,0.438,0.749,1.0
Ba2O8Pt3,0.0,0.04,0.831,0.757,0.521,0.26,1.0
Ba3O4Pt1,0.077,0.109,0.007,0.852,0.442,0.648,1.0
Ba3O5Pt1,0.104,0.068,0.278,0.881,0.389,0.687,1.0
Ba3O5Pt2,0.117,0.128,0.058,0.85,0.431,0.91,1.0
Ba3O6Pt2,0.055,0.038,0.021,0.88,0.185,0.715,1.0
Ba3O7Pt4,0.187,0.161,0.127,0.495,0.231,0.635,0.999
Ba3O8Pt1,0.145,0.21,0.247,0.903,0.597,0.878,1.0
Ba3O8Pt2,0.0,0.044,0.007,0.876,0.449,0.917,1.0
Ba3O8Pt5,0.167,0.159,0.132,0.446,0.436,0.853,0.999
Ba4O5Pt1,0.053,0.086,0.007,0.826,0.399,0.721,1.0
Ba4O7Pt2,0.0,0.011,0.145,0.896,0.445,0.745,1.0
Ba4O7Pt3,0.178,0.151,0.044,0.818,0.258,0.727,1.0
Ba5O6Pt1,0.098,0.143,0.008,0.807,0.306,0.655,1.0
Ba5O7Pt1,0.164,0.13,0.034,0.815,0.173,0.362,1.0
Ba5O7Pt2,0.174,0.15,0.004,0.866,0.318,0.695,1.0
Ba5O8Pt2,0.14,0.09,0.009,0.885,0.32,0.677,1.0
Ba5O8Pt3,0.21,0.173,0.055,0.865,0.374,0.79,1.0
Ba6O7Pt1,0.097,0.164,0.007,0.792,0.369,0.538,1.0
Ba6O8Pt1,0.152,0.148,0.054,0.793,0.423,0.508,1.0
Ba7O8Pt1,0.098,0.183,0.007,0.782,0.359,0.242,1.0
Ba1O2Pu1,0.122,0.609,0.008,0.118,0.688,0.548,0.998
Ba1O3Pu2,0.118,0.818,0.009,0.147,0.664,0.296,0.992
Ba1O4Pu2,0.037,0.392,0.42,0.203,0.394,0.482,0.994
Ba1O4Pu3,0.157,0.91,0.017,0.287,0.764,0.468,0.995
Ba1O5Pu2,0.1,0.037,0.735,0.447,0.887,0.62,1.0
Ba1O6Pu2,0.0,0.055,0.365,0.73,0.441,0.512,1.0
Ba1O7Pu3,0.119,0.037,0.723,0.518,0.602,0.692,0.999
Ba1O7Pu4,0.181,0.552,0.334,0.34,0.748,0.489,0.999
Ba1O8Pu3,0.0,0.138,0.331,0.688,0.79,0.752,1.0
Ba2O3Pu1,0.128,0.511,0.008,0.373,0.559,0.875,0.999
Ba2O4Pu1,0.033,0.041,0.275,0.689,0.379,0.795,1.0
Ba2O5Pu2,0.088,0.303,0.678,0.275,0.677,0.712,0.999
Ba2O5Pu3,0.202,0.791,0.013,0.106,0.116,0.455,0.976
Ba2O6Pu1,0.0,-0.031,0.644,0.89,0.496,0.955,1.0
Ba2O7Pu5,0.263,0.954,0.017,0.22,0.775,0.502,0.996
Ba2O8Pu3,0.16,0.068,0.798,0.448,0.639,0.65,1.0
Ba3O4Pu1,0.118,0.414,0.003,0.551,0.494,0.475,1.0
Ba3O5Pu1,0.106,0.075,0.547,0.692,0.461,0.386,1.0
Ba3O5Pu2,0.142,0.584,0.007,0.226,0.501,0.312,0.998
Ba3O6Pu2,0.055,0.302,0.542,0.454,0.563,0.67,0.999
Ba3O7Pu4,0.183,0.755,0.011,0.102,0.421,0.449,0.991
Ba3O8Pu1,0.0,0.177,0.629,0.884,0.68,0.745,1.0
Ba3O8Pu5,0.167,0.82,0.009,0.115,0.74,0.328,0.999
Ba4O5Pu1,0.066,0.316,0.009,0.615,0.477,0.548,1.0
Ba4O6Pu1,0.026,0.046,0.386,0.679,0.515,0.689,1.0
Ba4O7Pu1,0.0,0.001,0.123,0.73,0.474,0.832,1.0
Ba4O7Pu2,0.093,0.308,0.579,0.567,0.434,0.435,1.0
Ba4O7Pu3,0.17,0.617,0.005,0.181,0.541,0.583,0.999
Ba5O6Pu1,0.141,0.33,0.008,0.641,0.253,0.657,0.998
Ba5O7Pu1,0.097,0.072,0.518,0.671,0.527,0.471,1.0
Ba5O7Pu2,0.153,0.452,0.006,0.483,0.327,0.258,0.999
Ba5O8Pu1,0.0,0.073,0.101,0.704,0.395,0.618,1.0
Ba5O8Pu2,0.093,0.294,0.519,0.618,0.487,0.671,1.0
Ba5O8Pu3,0.161,0.572,0.007,0.275,0.625,0.502,0.999
Ba6O7Pu1,0.069,0.292,0.008,0.655,0.468,0.433,1.0
Ba6O8Pu1,0.036,0.047,0.252,0.667,0.45,0.511,1.0
Ba7O8Pu1,0.104,0.318,0.009,0.664,0.494,0.241,1.0
Ba1O2Ru1,0.28,0.312,0.006,0.566,0.376,0.844,0.998
Ba1O3Ru2,0.416,0.418,0.006,0.138,0.572,0.96,0.97
Ba1O4Ru2,0.246,0.277,0.006,0.533,0.698,0.777,0.997
Ba1O4Ru3,0.427,0.456,0.002,0.163,0.608,0.963,0.949
Ba1O5Ru2,0.093,0.039,0.971,0.778,0.814,0.965,1.0
Ba1O5Ru3,0.295,0.353,0.065,0.397,0.811,0.45,0.992
Ba1O6Ru2,0.0,0.035,0.972,0.854,0.828,0.79,1.0
Ba1O6Ru5,0.451,0.498,0.001,0.165,0.747,0.982,0.963
Ba1O7Ru3,0.156,0.071,0.973,0.789,0.852,0.813,0.998
Ba1O7Ru4,0.198,0.285,0.112,0.574,0.794,0.951,0.995
Ba1O8Ru3,0.078,0.132,0.881,0.835,0.863,0.99,0.999
Ba2O3Ru1,0.217,0.284,0.02,0.897,0.184,0.619,0.999
Ba2O3Ru2,0.483,0.477,0.001,0.183,0.201,0.686,0.998
Ba2O5Ru2,0.257,0.232,0.406,0.77,0.245,0.838,1.0
Ba2O5Ru3,0.446,0.414,0.007,0.199,0.633,0.8,0.991
Ba2O7Ru2,0.071,0.115,0.989,0.883,0.736,0.921,1.0
Ba2O7Ru3,0.174,0.196,0.187,0.67,0.717,0.915,1.0
Ba3O5Ru1,0.076,0.062,0.978,0.889,0.549,0.956,1.0
Ba3O5Ru2,0.305,0.321,0.012,0.866,0.331,0.768,0.999
Ba3O6Ru1,0.0,0.027,0.803,0.904,0.657,0.926,1.0
Ba3O6Ru2,0.125,0.143,0.004,0.902,0.459,0.853,0.999
Ba3O7Ru1,0.036,0.1,0.731,0.914,0.526,0.956,1.0
Ba3O7Ru2,0.075,0.019,0.972,0.909,0.674,0.905,1.0
Ba3O8Ru1,0.127,0.192,0.554,0.917,0.634,0.89,1.0
Ba3O8Ru2,0.0,0.021,0.005,0.913,0.504,0.874,1.0
Ba4O5Ru2,0.37,0.383,0.013,0.819,0.239,0.667,0.999
Ba4O7Ru1,0.0,0.035,0.818,0.871,0.67,0.839,1.0
Ba4O7Ru2,0.168,0.21,0.336,0.916,0.678,0.773,1.0
Ba4O7Ru3,0.281,0.305,0.007,0.82,0.419,0.661,0.999
Ba5O6Ru2,0.342,0.353,0.009,0.842,0.288,0.658,0.999
Ba5O7Ru2,0.251,0.28,0.006,0.885,0.256,0.789,0.999
Ba5O8Ru1,0.0,0.074,0.512,0.836,0.656,0.894,1.0
Ba5O8Ru2,0.235,0.235,0.003,0.901,0.669,0.7,1.0
Ba6O7Ru2,0.462,0.393,0.003,0.835,0.211,0.691,1.0
Ba7O8Ru1,0.188,0.26,0.049,0.757,0.404,0.23,1.0
Ba7O8Ru2,0.257,0.297,0.025,0.821,0.417,0.613,1.0
Ba1O3Sb1,0.098,0.004,0.736,0.784,0.486,0.92,1.0
Ba1O4Sb2,0.056,0.05,0.018,0.637,0.277,0.884,1.0
Ba1O5Sb2,0.118,-0.026,0.62,0.761,0.42,0.908,1.0
Ba1O7Sb6,0.168,0.506,0.002,0.517,0.543,0.968,0.994
Ba1O8Sb3,0.188,0.194,0.962,0.82,0.578,0.978,1.0
Ba2O1Sb1,0.073,0.637,0.183,0.874,0.53,0.717,1.0
Ba2O2Sb1,0.109,0.49,0.024,0.785,0.617,0.306,1.0
Ba2O4Sb1,0.016,0.001,0.924,0.879,0.407,0.967,1.0
Ba2O5Sb3,0.179,0.316,0.003,0.494,0.566,0.985,1.0
Ba2O7Sb5,0.166,0.387,0.002,0.465,0.197,0.805,1.0
Ba3O4Sb2,0.124,0.388,0.136,0.798,0.494,0.863,1.0
Ba3O5Sb2,0.143,0.255,0.017,0.825,0.241,0.818,1.0
Ba3O7Sb4,0.185,0.3,0.013,0.528,0.475,0.817,1.0
Ba4O1Sb6,0.094,0.752,0.473,0.876,0.875,0.705,1.0
Ba4O3Sb2,0.09,0.555,0.063,0.798,0.576,0.135,1.0
Ba4O7Sb1,0.0,0.14,0.151,0.875,0.619,0.912,1.0
Ba4O7Sb3,0.128,0.243,0.019,0.792,0.297,0.537,1.0
Ba5O1Sb3,0.076,0.771,0.291,0.902,0.845,0.997,1.0
Ba5O1Sb4,0.07,0.768,0.306,0.809,0.854,0.975,1.0
Ba5O1Sb8,0.071,0.757,0.463,0.881,0.791,0.987,1.0
Ba5O6Sb2,0.117,0.393,0.122,0.81,0.349,0.348,1.0
Ba5O7Sb1,0.059,0.084,0.593,0.801,0.559,0.8,1.0
Ba5O7Sb3,0.116,0.335,0.003,0.827,0.342,0.757,1.0
Ba5O8Sb1,0.003,0.184,0.179,0.845,0.613,0.929,1.0
Ba5O8Sb2,0.089,0.096,0.027,0.87,0.267,0.879,1.0
Ba5O8Sb3,0.157,0.273,0.013,0.844,0.289,0.883,1.0
Ba6O2Sb5,0.092,0.73,0.252,0.771,0.889,0.642,1.0
Ba6O5Sb2,0.126,0.509,0.016,0.798,0.348,0.893,1.0
Ba6O7Sb1,0.188,0.371,0.008,0.741,0.352,0.14,1.0
Ba7O1Sb6,0.071,0.782,0.136,0.804,0.882,0.874,1.0
Ba7O2Sb5,0.103,0.747,0.324,0.831,0.91,0.883,1.0
Ba7O2Sb6,0.122,0.746,0.027,0.776,0.862,0.805,1.0
Ba7O3Sb8,0.092,0.71,0.397,0.814,0.824,0.953,1.0
Ba7O5Sb2,0.09,0.537,0.107,0.844,0.483,0.53,1.0
Ba7O6Sb1,0.111,0.473,0.016,0.792,0.343,0.255,1.0
Ba7O8Sb3,0.076,0.401,0.037,0.802,0.387,0.645,1.0
Ba8O1Sb5,0.062,0.794,0.555,0.901,0.889,0.805,0.999
Ba8O2Sb7,0.155,0.774,0.332,0.781,0.787,0.985,1.0
Ba8O3Sb5,0.077,0.697,0.157,0.857,0.88,0.573,1.0
Ba1O2Te2,0.144,0.39,0.011,0.901,0.601,0.615,1.0
Ba1O4Te2,0.148,0.255,0.534,0.931,0.821,0.612,1.0
Ba1O4Te3,0.161,0.375,0.018,0.923,0.846,0.744,1.0
Ba1O5Te2,0.037,0.013,0.982,0.936,0.593,0.643,1.0
Ba1O5Te3,0.178,0.341,0.091,0.934,0.522,0.671,1.0
Ba2O2Te1,0.14,0.182,0.075,0.849,0.582,0.403,1.0
Ba2O5Te1,0.0,-0.01,0.972,0.895,0.754,0.977,1.0
Ba2O5Te6,0.131,0.435,0.004,0.906,0.692,0.833,1.0
Ba2O6Te1,0.09,0.11,0.39,0.892,0.686,0.977,1.0
Ba3O1Te2,0.065,0.371,0.149,0.838,0.947,0.707,0.998
Ba3O1Te5,0.129,0.445,0.004,0.922,0.925,0.763,1.0
Ba3O2Te1,0.061,0.32,0.048,0.837,0.416,0.474,1.0
Ba3O2Te2,0.129,0.323,0.012,0.852,0.447,0.673,1.0
Ba3O2Te4,0.124,0.332,0.149,0.896,0.751,0.84,1.0
Ba3O5Te1,0.0,0.11,0.086,0.88,0.594,0.899,1.0
Ba3O5Te2,0.196,0.279,0.483,0.89,0.65,0.952,1.0
Ba3O7Te4,0.098,0.211,0.379,0.889,0.577,0.757,1.0
Ba3O8Te2,0.0,0.051,0.062,0.891,0.761,0.91,1.0
Ba4O1Te2,0.014,0.529,0.009,0.722,0.837,0.934,1.0
Ba4O2Te3,0.073,0.33,0.009,0.85,0.893,0.918,1.0
Ba4O5Te1,0.114,0.273,0.026,0.808,0.516,0.67,1.0
Ba4O6Te1,0.006,0.13,0.049,0.848,0.592,0.87,1.0
Ba4O7Te6,0.152,0.355,0.006,0.883,0.691,0.874,1.0
Ba5O1Te3,0.011,0.51,0.005,0.736,0.95,0.918,0.999
Ba5O2Te3,0.116,0.397,0.156,0.844,0.876,0.539,1.0
Ba5O2Te6,0.109,0.367,0.005,0.88,0.892,0.823,1.0
Ba5O8Te1,0.0,0.058,0.077,0.849,0.688,0.964,1.0
Ba5O8Te3,0.129,0.248,0.291,0.89,0.47,0.795,1.0
Ba6O2Te5,0.111,0.395,0.009,0.842,0.946,0.887,1.0
Ba6O5Te2,0.125,0.3,0.011,0.816,0.326,0.321,1.0
Ba6O8Te1,0.079,0.181,0.027,0.785,0.482,0.642,1.0
Ba7O3Te8,0.104,0.357,0.013,0.876,0.94,0.99,1.0
Ba1O2Th1,0.256,0.657,0.003,0.144,0.165,0.209,0.998
Ba1O3Th2,0.374,1.022,0.001,0.091,0.17,0.544,0.987
Ba1O4Th1,0.212,0.113,0.084,0.85,0.623,0.99,1.0
Ba1O4Th2,0.313,0.57,0.085,0.095,0.279,0.254,0.999
Ba1O5Th2,0.092,0.024,0.628,0.369,0.34,0.712,0.999
Ba1O6Th2,0.269,0.158,0.181,0.725,0.677,0.585,1.0
Ba1O7Th3,0.088,0.015,0.61,0.337,0.346,0.662,0.999
Ba1O8Th3,0.224,0.131,0.039,0.601,0.714,0.474,1.0
Ba2O3Th1,0.208,0.446,0.006,0.499,0.502,0.96,0.998
Ba2O4Th1,0.041,0.024,0.161,0.717,0.57,0.961,0.999
Ba2O5Th2,0.181,0.342,0.062,0.361,0.477,0.94,0.999
Ba2O5Th3,0.353,0.891,0.001,0.085,0.274,0.893,0.993
Ba2O6Th1,0.292,0.181,0.144,0.864,0.792,0.874,1.0
Ba2O8Th3,0.167,0.055,0.671,0.457,0.152,0.674,0.998
Ba3O4Th1,0.131,0.313,0.012,0.608,0.374,1.0,0.999
Ba3O5Th1,0.044,0.012,0.111,0.702,0.164,0.992,0.999
Ba3O5Th2,0.282,0.553,0.003,0.342,0.102,0.997,0.996
Ba3O6Th2,0.13,0.282,0.074,0.583,0.597,0.992,0.999
Ba3O7Th2,0.044,0.02,0.288,0.707,0.65,0.992,0.999
Ba3O8Th1,0.298,0.181,0.09,0.861,0.476,0.977,1.0
Ba4O5Th1,0.089,0.225,0.008,0.638,0.44,0.972,0.999
Ba4O6Th1,0.083,0.021,0.117,0.685,0.173,0.93,0.999
Ba4O7Th2,0.118,0.24,0.09,0.651,0.249,0.934,0.999
Ba4O7Th3,0.308,0.599,0.004,0.272,0.144,0.994,0.994
Ba5O6Th1,0.061,0.183,0.008,0.653,0.58,1.0,1.0
Ba5O7Th1,0.11,0.032,0.124,0.675,0.294,0.956,1.0
Ba5O7Th2,0.237,0.403,0.007,0.573,0.304,0.946,0.999
Ba5O8Th2,0.096,0.198,0.123,0.667,0.508,0.98,1.0
Ba5O8Th3,0.182,0.467,0.004,0.406,0.646,0.997,0.998
Ba6O7Th1,0.047,0.128,0.008,0.661,0.478,0.973,1.0
Ba6O8Th1,0.046,-0.012,0.124,0.671,0.41,0.729,1.0
Ba7O8Th1,0.03,0.129,0.008,0.668,0.56,0.998,1.0
Ba1O2U1,0.266,0.897,0.003,0.086,0.343,0.383,0.999
Ba1O3U2,0.279,1.161,0.003,0.066,0.236,0.575,0.998
Ba1O4U2,0.187,0.84,0.214,0.085,0.604,0.468,1.0
Ba1O5U1,0.223,0.134,0.639,0.932,0.76,0.581,1.0
Ba1O5U2,0.131,0.425,0.339,0.348,0.509,0.491,1.0
Ba1O6U2,0.034,0.208,0.904,0.724,0.764,0.637,1.0
Ba1O7U3,0.127,0.434,0.109,0.371,0.237,0.407,1.0
Ba1O8U2,0.16,0.204,0.62,0.934,0.687,0.723,1.0
Ba2O3U1,0.14,0.631,0.001,0.411,0.473,0.634,0.999
Ba2O4U1,0.0,0.265,0.453,0.718,0.62,0.793,1.0
Ba2O5U1,0.0,0.006,0.988,0.847,0.675,0.675,1.0
Ba2O5U2,0.233,0.661,0.334,0.238,0.331,0.695,1.0
Ba2O6U1,0.176,0.133,0.625,0.901,0.327,0.62,1.0
Ba2O7U1,0.232,0.236,0.627,0.923,0.684,0.769,1.0
Ba2O8U3,0.106,0.381,0.402,0.39,0.396,0.918,0.999
Ba3O4U1,0.144,0.549,0.011,0.585,0.593,0.753,1.0
Ba3O5U1,0.042,0.261,0.784,0.714,0.302,0.711,1.0
Ba3O5U2,0.187,0.743,0.001,0.234,0.267,0.743,0.999
Ba3O6U2,0.156,0.557,0.376,0.474,0.635,0.708,1.0
Ba3O7U2,0.121,0.36,0.558,0.678,0.511,0.492,1.0
Ba3O8U1,0.211,0.214,0.624,0.895,0.441,0.973,1.0
Ba3O8U2,0.11,0.149,0.924,0.801,0.281,0.654,1.0
Ba4O5U1,0.077,0.441,0.004,0.638,0.574,0.538,1.0
Ba4O6U1,0.0,0.199,0.359,0.696,0.588,0.715,1.0
Ba4O7U3,0.332,0.833,0.003,0.175,0.136,0.669,0.999
Ba5O6U1,0.108,0.407,0.006,0.658,0.313,0.653,1.0
Ba5O7U1,0.027,0.214,0.262,0.685,0.549,0.607,1.0
Ba5O8U1,0.0,0.073,0.742,0.72,0.543,0.886,1.0
Ba5O8U2,0.134,0.452,0.182,0.649,0.459,0.778,1.0
Ba5O8U3,0.201,0.719,0.001,0.296,0.296,0.779,0.999
Ba6O7U1,0.061,0.365,0.008,0.669,0.408,0.634,1.0
Ba6O8U1,0.0,0.19,0.221,0.678,0.457,0.604,1.0
Ba7O8U1,0.05,0.359,0.008,0.676,0.488,0.826,1.0
Ba1Ga1O2,0.129,0.3,0.006,0.814,0.363,0.477,0.999
Ba1Ga1O3,0.133,0.131,0.388,0.858,0.232,0.45,1.0
Ba1Ga2O3,0.222,0.143,0.004,0.805,0.362,0.69,0.998
Ba1Ga2O5,0.181,0.169,0.117,0.858,0.574,0.546,0.999
Ba1Ga2O8,0.452,1.085,0.076,0.869,0.468,0.52,1.0
Ba1Ga3O5,0.141,0.207,0.061,0.832,0.483,0.556,0.998
Ba1Ga4O5,0.195,0.47,0.005,0.777,0.343,0.319,0.998
Ba1Ga8O5,0.151,0.822,0.001,0.155,0.291,0.201,0.996
Ba2Ga1O1,0.09,0.776,0.037,0.868,0.619,0.395,0.998
Ba2Ga1O4,0.08,0.135,0.146,0.86,0.491,0.84,1.0
Ba2Ga1O5,0.228,0.232,0.328,0.882,0.433,0.673,1.0
Ba2Ga2O3,0.099,0.459,0.015,0.758,0.311,0.392,0.998
Ba2Ga3O7,0.101,0.072,0.547,0.846,0.583,0.621,0.999
Ba2Ga3O8,0.255,0.203,0.123,0.856,0.54,0.469,0.999
Ba2Ga5O7,0.179,0.411,0.004,0.803,0.341,0.485,0.998
Ba2Ga6O5,0.143,0.667,0.001,0.589,0.341,0.418,0.997
Ba3Ga1O4,0.106,0.252,0.004,0.764,0.359,0.418,1.0
Ba3Ga1O7,0.347,0.326,0.235,0.888,0.474,0.679,1.0
Ba3Ga2O4,0.151,0.432,0.039,0.779,0.375,0.348,0.999
Ba3Ga2O5,0.119,0.273,0.006,0.817,0.423,0.367,0.999
Ba3Ga2O6,0.033,0.069,0.019,0.848,0.389,0.378,0.999
Ba3Ga2O7,0.142,0.142,0.35,0.864,0.484,0.554,1.0
Ba3Ga5O8,0.194,0.361,0.007,0.806,0.346,0.586,0.998
Ba4Ga1O5,0.093,0.235,0.006,0.742,0.399,0.335,1.0
Ba4Ga1O6,0.083,0.168,0.061,0.785,0.267,0.405,1.0
Ba4Ga2O1,0.041,0.935,0.028,0.701,0.712,0.337,0.997
Ba4Ga3O7,0.154,0.293,0.005,0.82,0.451,0.327,1.0
Ba5Ga1O6,0.066,0.216,0.007,0.733,0.465,0.555,1.0
Ba5Ga1O7,0.058,0.161,0.141,0.755,0.418,0.392,1.0
Ba5Ga2O2,0.111,0.848,0.018,0.813,0.692,0.469,0.994
Ba5Ga2O4,0.214,0.599,0.01,0.855,0.349,0.17,0.999
Ba5Ga2O8,0.112,0.125,0.009,0.816,0.332,0.382,0.999
Ba5Ga3O1,0.047,0.976,0.019,0.726,0.763,0.061,0.995
Ba6Ga1O7,0.168,0.258,0.008,0.729,0.286,0.155,1.0
Ba6Ga2O3,0.143,0.779,0.035,0.865,0.502,0.499,0.997
Ba6Ga2O7,0.148,0.344,0.005,0.756,0.411,0.234,1.0
Ba7Ga2O8,0.096,0.324,0.031,0.751,0.451,0.793,1.0
Bi1Fe2O1,0.259,0.522,0.001,0.253,0.747,0.492,0.998
Bi1Fe3O5,0.108,0.128,0.378,0.739,0.313,0.146,0.769
Bi1Fe4O3,0.284,0.453,0.001,0.425,0.423,0.254,0.937
Bi1Fe4O6,0.165,0.168,0.422,0.711,0.476,0.527,0.878
Bi2Fe1O2,0.194,0.376,0.015,0.238,0.257,0.618,0.898
Bi2Fe2O3,0.191,0.377,0.004,0.431,0.503,0.479,0.787
Bi2Fe3O4,0.208,0.355,0.001,0.55,0.273,0.683,0.814
Bi2Fe3O7,0.141,0.121,0.928,0.809,0.537,0.124,0.905
Bi2Fe4O1,0.367,0.632,0.003,0.133,0.525,0.001,1.0
Bi2Fe5O7,0.225,0.299,0.005,0.684,0.471,0.37,0.933
Bi3Fe1O4,0.266,0.299,0.018,0.661,0.249,0.422,0.774
Bi3Fe2O2,0.358,0.53,0.008,0.088,0.333,0.619,0.892
Bi3Fe2O4,0.199,0.353,0.004,0.431,0.386,0.409,0.919
Bi3Fe2O6,0.187,0.222,0.001,0.792,0.227,0.037,0.759
Bi3Fe4O3,0.249,0.5,0.001,0.24,0.644,0.51,0.994
Bi3Fe4O6,0.229,0.349,0.001,0.585,0.41,0.311,0.888
Bi3Fe7O4,0.411,0.587,0.001,0.311,0.527,0.314,0.982
Bi4Fe1O1,0.35,0.557,0.013,0.336,0.428,0.885,0.988
Bi4Fe1O8,0.077,0.046,0.006,0.834,0.241,0.365,0.874
Bi4Fe3O3,0.279,0.495,0.008,0.11,0.584,0.61,0.933
Bi4Fe7O2,0.416,0.663,0.007,0.118,0.463,0.105,0.997
Bi5Fe4O7,0.255,0.392,0.004,0.422,0.296,0.163,0.907
Bi5Fe6O2,0.35,0.623,0.005,0.105,0.626,0.256,0.997
Bi5Fe6O7,0.259,0.439,0.005,0.364,0.48,0.752,0.955
Bi5Fe7O8,0.279,0.434,0.003,0.421,0.45,0.505,0.926
Bi5Fe8O3,0.399,0.635,0.002,0.153,0.482,0.449,0.996
Bi6Fe4O5,0.278,0.468,0.007,0.132,0.384,0.416,0.986
Bi6Fe5O3,0.412,0.602,0.003,0.081,0.353,0.852,0.981
Bi6Fe5O7,0.291,0.434,0.004,0.277,0.412,0.545,0.961
Bi7Fe5O3,0.35,0.579,0.007,0.071,0.43,0.352,0.997
Bi7Fe5O8,0.211,0.393,0.003,0.28,0.37,0.104,0.898
Bi7Fe6O2,0.374,0.627,0.009,0.081,0.509,0.673,0.998
Bi7Fe6O3,0.319,0.58,0.003,0.081,0.554,0.825,0.995
Bi8Fe5O7,0.27,0.451,0.006,0.146,0.368,0.45,0.894
Bi1K1O4,0.304,0.268,0.28,0.86,0.655,0.642,0.999
Bi1K2O1,0.085,0.3,0.004,0.901,0.808,0.996,0.999
Bi1K2O3,0.03,-0.018,0.155,0.939,0.475,0.992,0.999
Bi1K2O4,0.076,0.063,0.428,0.891,0.602,0.683,1.0
Bi1K3O1,0.113,0.278,0.011,0.846,0.641,0.999,0.999
Bi1K3O2,0.082,0.135,0.025,0.937,0.698,0.997,0.999
Bi1K4O1,0.11,0.281,0.005,0.75,0.685,0.993,0.999
Bi1K4O2,0.139,0.148,0.009,0.894,0.453,0.844,0.994
Bi1K4O3,0.008,0.046,0.024,0.942,0.546,0.92,0.999
Bi1K4O5,0.0,-0.009,0.113,0.943,0.685,0.933,0.999
Bi1K4O6,0.148,0.1,0.164,0.924,0.6,0.942,1.0
Bi1K5O1,0.031,0.257,0.004,0.651,0.801,0.99,0.999
Bi1K5O2,0.101,0.198,0.004,0.826,0.677,1.0,1.0
Bi1K5O5,0.0,-0.017,0.092,0.947,0.727,0.971,1.0
Bi1K6O2,0.067,0.21,0.005,0.747,0.667,0.953,0.999
Bi1K8O5,0.01,0.072,0.004,0.912,0.628,0.998,1.0
Bi2K1O5,0.088,0.123,0.649,0.843,0.266,0.384,0.993
Bi2K7O1,0.032,0.318,0.002,0.686,0.712,1.0,0.999
Bi2K7O5,0.124,0.134,0.02,0.941,0.789,0.978,0.999
Bi2K8O1,0.049,0.299,0.002,0.639,0.655,0.993,0.998
Bi3K1O7,0.095,0.155,0.582,0.845,0.18,0.59,0.969
Bi3K1O8,0.106,0.201,0.43,0.868,0.351,0.667,0.987
Bi3K2O7,0.06,-0.003,0.558,0.814,0.558,0.789,0.995
Bi3K4O5,0.165,0.185,0.024,0.938,0.543,0.895,0.998
Bi3K7O5,0.137,0.215,0.015,0.945,0.539,0.994,0.999
Bi3K8O1,0.056,0.365,0.003,0.733,0.674,0.986,0.998
Bi3K8O7,0.182,0.145,0.004,0.955,0.361,0.998,0.999
Bi4K1O5,0.232,0.289,0.03,0.7,0.449,0.724,0.941
Bi4K2O3,0.229,0.38,0.024,0.487,0.511,0.733,0.994
Bi4K6O5,0.204,0.246,0.001,0.942,0.474,0.965,0.998
Bi4K7O3,0.132,0.355,0.002,0.866,0.825,0.987,0.999
Bi5K1O8,0.063,0.026,0.899,0.764,0.493,0.365,0.96
Bi5K3O8,0.134,0.155,0.03,0.768,0.654,0.804,0.994
Bi5K4O7,0.183,0.159,0.033,0.81,0.583,0.982,0.997
Bi5K6O1,0.096,0.475,0.027,0.712,0.688,0.983,0.997
Bi5K7O2,0.097,0.429,0.009,0.77,0.757,0.994,0.998
Bi7K3O5,0.27,0.416,0.017,0.441,0.339,0.918,0.988
Bi7K5O6,0.189,0.313,0.033,0.684,0.526,0.983,0.996
Bi1La3O6,0.044,0.012,0.842,0.772,0.379,0.437,0.999
Bi1La6O7,0.005,0.465,0.024,0.617,0.265,0.162,0.997
Bi1La6O8,0.18,0.355,0.003,0.687,0.158,0.433,0.997
Bi1La7O6,0.054,0.898,0.02,0.631,0.324,0.325,0.996
Bi2La3O7,0.16,0.155,0.034,0.383,0.056,0.046,0.997
Bi2La4O1,0.0,1.198,0.074,0.961,0.878,0.816,0.998
Bi2La5O3,0.0,0.955,0.103,0.973,0.712,0.648,0.999
Bi2La6O1,0.01,1.489,0.044,0.2,0.791,0.682,0.995
Bi2La7O4,0.029,1.1,0.039,0.824,0.367,0.875,0.995
Bi3La2O2,0.027,0.513,0.091,0.188,0.72,0.507,0.998
Bi3La2O7,0.12,0.111,0.019,0.411,0.082,0.29,0.997
Bi3La5O2,0.061,1.011,0.123,0.978,0.809,0.724,0.998
Bi3La7O4,0.085,0.998,0.109,0.979,0.31,0.674,0.996
Bi4La1O5,0.215,0.248,0.017,0.593,0.158,0.676,0.991
Bi4La1O8,0.053,0.022,0.016,0.78,0.122,0.456,0.992
Bi4La2O7,0.259,0.25,0.021,0.424,0.141,0.621,0.992
Bi4La3O1,0.194,0.858,0.516,0.588,0.84,0.836,0.998
Bi4La3O4,0.174,0.451,0.057,0.24,0.396,0.748,0.998
Bi4La3O8,0.092,0.183,0.154,0.206,0.232,0.774,0.999
Bi4La5O2,0.129,0.906,0.072,0.788,0.725,0.821,0.999
Bi4La7O1,0.0,1.23,0.072,0.966,0.763,0.391,0.996
Bi4La7O3,0.0,0.988,0.101,0.982,0.762,0.742,0.998
Bi5La2O6,0.146,0.281,0.031,0.316,0.175,0.614,0.997
